Brand,Room_Size_in_Sq/f,Stars,Tons,Power_Usage_in_Watts,Launch_Year,Price,Original_Price,Discount(%),Warranty_in_Years,Ratings,No_of_Ratings,No_of_Reviews
Godrej,150,3.0,1.4,905.88,2025,26990,40450,33,5.0,3.9,2565,205
Samsung,90,3.0,1.0,626.62,2025,28990,53490,45,1.0,4.2,8392,905
MarQ,90,3.0,1.0,684.9,2025,21990,45099,51,1.0,4.2,38787,4877
Haier,90,3.0,1.0,688.52,2025,24990,50000,50,5.0,4.1,1431,131
Blue Star,150,3.0,1.5,1006.84,2025,32990,56400,41,1.0,4.1,24469,2069
Voltas,150,3.0,1.5,975.26,2025,30990,57990,46,5.0,4.2,76440,6627
Mitsubishi,90,3.0,1.0,859.325,2025,31380,44000,28,1.0,3.0,10,1
Voltas,90,3.0,1.0,672.93,2025,27990,52390,46,5.0,4.1,7833,861
Lloyd,150,3.0,1.5,951.47,2025,30990,53990,42,1.0,4.1,19215,2111
MarQ,90,3.0,1.5,553.16,2025,19990,42799,53,1.0,4.2,2121,238
ONIDA,150,3.0,1.5,952.59,2025,27270,42290,35,1.0,4.1,15075,1776
Godrej,90,5.0,1.0,516.37,2025,30490,45050,32,5.0,4.0,2352,235
ONIDA,150,5.0,1.5,767.34,2025,30990,43190,28,1.0,4.3,6593,801
CARRIER,150,5.0,1.5,754.05,2025,39490,70100,43,1.0,4.2,24631,3377
ONIDA,90,3.0,1.0,649.78,2025,24990,44190,43,1.0,4.2,8943,1239
Godrej,150,3.0,1.5,951.91,2025,29490,42300,30,5.0,4.0,18307,1520
Hisense,90,3.0,1.0,859.325,2025,28990,39630,26,1.0,4.1,457,87
Hitachi,150,3.0,1.5,859.325,2025,33490,57400,41,1.0,4.0,10198,1239
Daikin,150,3.0,1.5,966.47,2025,34490,53830,35,5.0,4.2,20497,1541
Samsung,150,3.0,1.5,852.47,2025,32490,56990,42,1.0,4.1,35239,3226
Samsung,150,5.0,1.5,859.325,2025,41490,79190,47,5.0,4.2,25552,2605
Hisense,150,3.0,1.5,859.325,2025,30990,42400,26,1.0,4.1,1316,261
MarQ,150,3.0,1.5,859.325,2025,25790,46999,45,1.0,4.2,47658,6142
MarQ,200,3.0,2.0,1281.64,2025,34490,61699,44,1.0,4.2,1376,156
Blue Star,90,3.0,1.0,859.325,2025,30900,39000,20,1.0,3.7,4721,632
Lloyd,150,3.0,1.5,941.66,2025,30990,53990,42,1.0,4.1,19215,2111
Godrej,150,3.0,1.4,905.88,2025,26990,40450,33,5.0,3.9,2565,205
Voltas,90,3.0,1.0,672.93,2025,27990,52390,46,5.0,4.1,7833,861
Lloyd,150,5.0,1.5,859.325,2025,36999,66900,44,1.0,4.1,10738,1307
Godrej,150,4.0,1.5,835.07,2025,30990,46000,32,5.0,4.0,9418,703
ONIDA,150,3.0,1.5,952.59,2025,27270,42290,35,1.0,4.1,15072,1776
Godrej,90,5.0,1.0,516.37,2025,30490,45050,32,5.0,4.0,2352,235
LG,150,3.0,1.5,852.44,2025,33990,72990,53,1.0,4.1,39723,3780
Lloyd,200,3.0,2.0,1261.37,2023,41590,77990,46,1.0,3.9,619,51
TCL,90,3.0,1.0,657.31,2025,23990,50991,52,1.0,3.9,206,25
