Product_name,Price,Ratings,Features,pagenum,Original_Price,Discount,Review
Daikin 2025 Model 1.5 Ton 3 Star Split Inverter AC,"₹34,490",4.2,Annual Power Usage: 966.47 UnitsRoom Size: 111 - 150 sqft5 Year Comprehensive Warranty from 1 st Nov 2025 to 31st Jan 2026,1,"₹53,830",35% off,"20,403 Ratings & 1,536 Reviews"
Haier Kinouchi Limited Edition 2025 Model 1.6 Ton 5 Star Split Inverter with Wi-fi AC,"₹45,990",4.1,Annual Power Usage: 836.95 kWhRoom Size: 151 - 200 sqftManufacturer Warranty: 5 years on the product and 12 years on the compressor (1-year warranty card in the box + 4-year promotional warranty post-installation).,1,"₹78,200",41% off,178 Ratings & 16 Reviews
"Haier 2025 Model 1 Ton 3 Star Split Dual Inverter Intelli-Convertible 7 in 1 ConvertibleHD Filter, Fro...","₹26,990",4.1,Annual Power Usage: 688.52 UnitsRoom Size: 90 sqft or Below5 Year Warranty on Product and 12 Years Warranty on Compressor,1,"₹50,000",46% off,"1,383 Ratings & 128 Reviews"
MarQ by Flipkart 2025 Model 1 Ton 3 Star Split Inverter 5-in-1 Convertible with Turbo Cool Technology ...,"₹21,990",4.2,Annual Power Usage: 684.9 UnitsRoom Size: 90 sqft or Below1 Year Warranty on Product and 10 Years Warranty on Compressor,1,"₹45,099",51% off,"38,687 Ratings & 4,872 Reviews"
Voltas 2025 Model 1.5 Ton 3 Star Split Inverter 4-IN-1 Adjustable Mode | Energy Efficient | High Ambie...,"₹30,490",4.2,"Annual Power Usage: 975.26 UnitsRoom Size: 111 - 150 sqft5 years warranty from
the date of installation, (Inverter or Fixed Speed
SACs) of Tonnage up to 2.2 Tr (Offer valid only from 31st October 2025 to 30th November 2025). It is applicable only for residential usage only and does not apply to commercial or National Accounts customers, 5 Years warranty on PCB, 10 Years on Inverter Compressor.",1,"₹57,990",47% off,"76,308 Ratings & 6,621 Reviews"
Blue Star 2025 Model 1.5 Ton 3 Star Split Inverter AC,"₹32,990",4.1,Annual Power Usage: 1006.84 UnitsRoom Size: 111 - 150 sqft60 months for those customers who purchase Blue Star Split ACs (Inverter or Fixed Speed SACs) of Tonnage up to 2.2 Tr from 24th January 2026 to 31st March 2026.,1,"₹56,400",41% off,"24,393 Ratings & 2,066 Reviews"
Mitsubishi Electric 2025 Model 1 Ton 3 Star Split AC,"₹31,380",2.5,Annual Power Usage: 675.02 kWhRoom Size: 90 sqft or Below,1,"₹44,000",28% off,8 Ratings & 1 Reviews
Godrej 2025 Model 1 Ton 5 Star Split Inverter 5-In-1-Convertible CoolingI-sense Technology with Blue F...,"₹29,990",4,"Annual Power Usage: 516.37 UnitsRoom Size: 90 sqft or Below5 Years Warranty on Whole Product (Valid on sales post 1 Sep 2024, warranty can be availed after registering on Brand website within 30 days of purchase) and 10 Years Warranty on Compressor",1,"₹45,050",33% off,"2,336 Ratings & 235 Reviews"
MarQ by Flipkart 2025 Model 0.75 ton 3 Star Split Inverter 4-in-1 Convertible with Turbo Cool Technolo...,"₹19,990",4.2,Annual Power Usage: 553.16 UnitsRoom Size: 90 sqft or Below1 Year Warranty on Product and 10 Years Warranty on Compressor,1,"₹42,799",53% off,"2,110 Ratings & 237 Reviews"
Lloyd 2025 Model 1.5 Ton 3 Star Split Inverter AC,"₹31,790",4.1,"Annual Power Usage: 951.47 UnitsRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Year Warranty on Component & 10 Year Warranty on Compressor.",1,"₹53,990",41% off,"19,173 Ratings & 2,108 Reviews"
Voltas 2025 Model 1 Ton 3 Star Split Inverter 4-IN-1 Adjustable Mode | Energy Efficient | High Ambient...,"₹27,990",4.1,"Annual Power Usage: 672.93 UnitsRoom Size: 90 sqft or Below5 years warranty from
the date of installation, (Inverter or Fixed Speed
SACs) of Tonnage up to 2.2 Tr (Offer valid only from 31st October 2025 to 30th November 2025). It is applicable only for residential usage only and does not apply to commercial or National Accounts customers, 5 Years warranty on PCB, 10 Years on Inverter Compressor.",1,"₹52,390",46% off,"7,817 Ratings & 861 Reviews"
"Haier 2025 Model 1.5 Ton 3 Star Split Inverter Intelli-Convertible 7 in1 ConvertibleHD Filter, Frost S...","₹31,790",4,Annual Power Usage: 941.42 UnitsRoom Size: 111 - 150 sqftManufacturer Warranty: 5 years on the product and 12 years on the compressor (1-year warranty card in the box + 4-year promotional warranty post-installation). Installation by Haier/authorized centers & 2 maintenance services (paid) yearly is mandatory. T&C apply; excludes gas/plastic parts,1,"₹57,400",44% off,"5,319 Ratings & 534 Reviews"
Godrej 2025 Model 1.5 Ton 3 Star Split Inverter 5-In-1-Convertible Cooling with Heavy Duty Cooling And...,"₹28,460",4,"Annual Power Usage: 951.91 UnitsRoom Size: 111 - 150 sqft5 Years Warranty on Whole Product (Valid on sales post 1 Sep 2024, warranty can be availed after registering on Brand website within 30 days of purchase) and 10 Years Warranty on Compressor",1,"₹45,900",37% off,"18,268 Ratings & 1,519 Reviews"
Godrej 2025 Model 1.4 Ton 3 Star Split Inverter 5-In-1-Convertible Cooling Heavy Duty Cooling At Extre...,"₹28,490",3.9,"Annual Power Usage: 905.88 UnitsRoom Size: 111 - 150 sqft5 Years Warranty on Whole Product (Valid on sales post 1 Sep 2024, warranty can be availed after registering on Brand website within 30 days of purchase) and 10 Years Warranty on Compressor",1,"₹40,450",29% off,"2,554 Ratings & 205 Reviews"
Blue Star 2025 Model 1.5 Ton 5 Star Split Inverter with Wi-fi AC,"₹40,990",4.2,Annual Power Usage: 783.33 kWhRoom Size: 111 - 150 sqft60 months for those customers who purchase Blue Star Split ACs (Inverter or Fixed Speed SACs) of Tonnage up to 2.2 Tr from 24th January 2026 to 31st March 2026.,1,"₹69,600",41% off,"12,523 Ratings & 1,070 Reviews"
Mitsubishi Electric 2024 Model 1.5 Ton 2 Star Split AC,"₹36,990",3.8,Annual Power Usage: 1122.45 UnitsRoom Size: 111 - 150 sqft1,1,"₹49,000",24% off,15 Ratings & 0 Reviews
CARRIER 2026 Model 1.5 Ton 3 Star Split AI Inverter with Wi-fi Convertible 6-in-1 with Geo-Fencing & V...,"₹35,490",4.2,"Annual Power Usage: 854.39 kWhRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years on PCB and 10 Years on the Compressor",1,"₹65,900",46% off,"35,529 Ratings & 4,403 Reviews"
Panasonic 2025 Model 1.5 Ton 5 Star Split Inverter with Wi-fi AC,"₹41,390",4.3,"Annual Power Usage: 759.55 UnitsRoom Size: 111 - 150 sqft5 years on Product and 10 years on Compressor. 5 years warranty covers PCB, Coils and Motors. Gas Charging: Covered for part replacement (Coils & Compressor) till 5 years.",1,"₹59,300",30% off,"19,993 Ratings & 2,150 Reviews"
"LG 2025 Model 1.5 Ton 5 Star Split Dual Inverter with Wi-fi with Energy Manger Plus, Voice Control, Hi...","₹43,990",4.2,Annual Power Usage: 744.75 kWhRoom Size: 111 - 150 sqft1 Year Manufacturing Warranty on Product,1,"₹84,990",48% off,"42,229 Ratings & 4,040 Reviews"
"Samsung 2025 Model 1.5 Ton 3 Star Split Inverter with Wi-fi Bespoke AI, 5 Step Convertible with Powerf...","₹32,490",4.1,"Annual Power Usage: 852.47 UnitsRoom Size: 111 - 150 sqft5 years comprehensive warranty on product + Additional 5 Months Warranty if purchase between 22nd September 2025 -10th November 2025, 10 years on compressor",1,"₹56,990",42% off,"35,217 Ratings & 3,227 Reviews"
"Godrej 2025 Model 1.5 Ton 4 Star Split Inverter 5-In-1-Convertible Cooling, 4 Way Air Swing And Heavy ...","₹30,990",4,"Annual Power Usage: 835.07 UnitsRoom Size: 111 - 150 sqft5 Years Warranty on Whole Product (Valid on sales post 1 Sep 2024, warranty can be availed after registering on Brand website within 30 days of purchase) and 10 Years Warranty on Compressor",1,"₹46,000",32% off,"9,395 Ratings & 703 Reviews"
Whirlpool 2025 Model 1.5 Ton 5 Star Split Inverter AC,"₹34,490",4.2,"Annual Power Usage: 728.95 kWhRoom Size: 111 - 150 sqft1 Year Warranty On Product, 5 Year Warranty On Compressor",1,"₹65,083",47% off,"20,904 Ratings & 2,368 Reviews"
Voltas 2025 Model 1 Ton 5 Star Split Inverter 4-IN-1 Adjustable Mode | Energy Efficient | High Ambient...,"₹32,990",4.2,"Annual Power Usage: 518.75 UnitsRoom Size: 90 sqft or Below1 Year Warranty on Product,5 Years on PCB and 10 Years Warranty on Compressor",1,"₹58,890",43% off,"1,843 Ratings & 234 Reviews"
Daikin 2025 Model 1.5 Ton 5 Star Split Inverter AC,"₹42,490",4.2,Annual Power Usage: 785.67 UnitsRoom Size: 111 - 150 sqft5 Year Comprehensive Warranty from 1 st Nov 2025 to 31st Jan 2026,1,"₹61,940",31% off,"14,200 Ratings & 1,256 Reviews"
MOTOROLA 2025 Model 1.5 Ton 3 Star Split Inverter with Wi-fi 7-in-1 Convertible with Rapid cool techno...,"₹26,990",4.2,"Annual Power Usage: 1011.43 UnitsRoom Size: 111 - 150 sqft1 Year on Product, 5 years on PCB, and 10 Years Warranty on Compressor",2,"₹52,499",48% off,"1,413 Ratings & 189 Reviews"
Lloyd 2025 Model 1 Ton 3 Star Split Inverter with Wi-fi Anti-Viral AC,"₹25,990",4.1,"Annual Power Usage: 689.77 UnitsRoom Size: 90 sqft or Below1 Year Warranty on Product, 5 Year Warranty on Component & 10 Year Warranty on Compressor.",2,"₹54,990",52% off,"4,836 Ratings & 537 Reviews"
Daikin 2025 Model 1.5 Ton 3 Star Split Inverter AC,"₹34,490",4.2,Annual Power Usage: 966.47 UnitsRoom Size: 111 - 150 sqft5 Year Comprehensive Warranty from 1 st Nov 2025 to 31st Jan 2026,2,"₹53,830",35% off,"20,403 Ratings & 1,536 Reviews"
Godrej 2025 Model 1 Ton 5 Star Split Inverter 5-In-1-Convertible CoolingI-sense Technology with Blue F...,"₹29,990",4,"Annual Power Usage: 516.37 UnitsRoom Size: 90 sqft or Below5 Years Warranty on Whole Product (Valid on sales post 1 Sep 2024, warranty can be availed after registering on Brand website within 30 days of purchase) and 10 Years Warranty on Compressor",2,"₹45,050",33% off,"2,336 Ratings & 235 Reviews"
"TCL 2025 Model 1 Ton 3 Star Split Dual Inverter 5 Step Convetible with Powerful Turbo cooling, Energy ...","₹23,990",4,"Annual Power Usage: 657.31 UnitsRoom Size: 90 sqft or Below1Year Comprehensive, PCB 5 Year and Compressor 10Year",2,"₹50,991",52% off,204 Ratings & 25 Reviews
MarQ by Flipkart 2025 Model 1.5 Ton 5 Star Split Inverter 5-in-1 Convertible with Turbo Cool Technolog...,"₹29,490",4.2,Annual Power Usage: 781.88 UnitsRoom Size: 111 - 150 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor,2,"₹56,199",47% off,"27,181 Ratings & 3,427 Reviews"
Haier Kinouchi Limited Edition 2025 Model 1.6 Ton 5 Star Split Inverter with Wi-fi AC,"₹45,990",4.1,Annual Power Usage: 836.95 kWhRoom Size: 151 - 200 sqftManufacturer Warranty: 5 years on the product and 12 years on the compressor (1-year warranty card in the box + 4-year promotional warranty post-installation).,2,"₹78,200",41% off,178 Ratings & 16 Reviews
Voltas 2025 Model 1 Ton 3 Star Split Inverter 4-IN-1 Adjustable Mode | Energy Efficient | High Ambient...,"₹27,990",4.1,"Annual Power Usage: 672.93 UnitsRoom Size: 90 sqft or Below5 years warranty from
the date of installation, (Inverter or Fixed Speed
SACs) of Tonnage up to 2.2 Tr (Offer valid only from 31st October 2025 to 30th November 2025). It is applicable only for residential usage only and does not apply to commercial or National Accounts customers, 5 Years warranty on PCB, 10 Years on Inverter Compressor.",2,"₹52,390",46% off,"7,817 Ratings & 861 Reviews"
Voltas 2025 Model 2 Ton 3 Star Split Inverter 4-IN-1 Adjustable Mode | Energy Efficient | High Ambient...,"₹40,599",4.1,"Annual Power Usage: 1207.93 UnitsRoom Size: 151 - 200 sqft5 years warranty from
the date of installation, (Inverter or Fixed Speed
SACs) of Tonnage up to 2.2 Tr (Offer valid only from 31st October 2025 to 30th November 2025). It is applicable only for residential usage only and does not apply to commercial or National Accounts customers, 5 Years warranty on PCB, 10 Years on Inverter Compressor.",2,"₹79,990",49% off,"1,616 Ratings & 146 Reviews"
Samsung 2025 Model 1 Ton 3 Star Split Inverter 5 Step Convertible with Powerful cooling & Energy savin...,"₹28,990",4.2,"Annual Power Usage: 626.62 UnitsRoom Size: 90 sqft or Below5 years comprehensive warranty on product + Additional 5 Months Warranty if purchase between 22nd September 2025 -10th November 2025, 10 years on compressor",2,"₹53,490",45% off,"8,373 Ratings & 905 Reviews"
LG 2025 Model 1.5 Ton 3 Star Hot and Cold Split AI Dual Inverter Convertible 5-in-1 with 4 Way Air Swi...,"₹41,990",4.1,"Annual Power Usage: 1005.66 UnitsRoom Size: 111 - 150 sqft1 Year Comprehensive Warranty on Product, 5 Year on PCB and Motor & 10 Year on Compressor (Free Gas charging during comprehensive warranty period only)",2,"₹82,990",49% off,"39,677 Ratings & 3,779 Reviews"
CARRIER 2025 Model 1.5 Ton 3 Star Split Inverter with Wi-fi Smart Flexicool 6 in 1 ConvertibleSmart En...,"₹32,990",4.2,"Annual Power Usage: 952.68 UnitsRoom Size: 111 - 150 sqft1 Year Comprehensive Warranty  on Product, 5 Years Warranty on PCB, 10 Years Warranty on Compressor",2,"₹62,900",47% off,"35,529 Ratings & 4,403 Reviews"
